title,series,platform,genre,developer,publisher,rating,modes,year,release_eu,release_jp,release_na,plot
Stakes Winner,Stakes Winner,Neo Geo CD,SPORTS,Saurus,Saurus,,SINGLE_PLAYER,1995,1996-03-22,1996-03-22,1996-03-22,
Street Slam,,Neo Geo CD,SPORTS,Data East,"Data East, SNK",,"SINGLE_PLAYER, TWO_PLAYERS",1994,1995-01-20,1995-01-20,1995-01-20,
2020 Super Baseball,,Neo Geo CD,SPORTS,"Pallas, SNK","Pallas, SNK",ESRB_EVERYONE,SINGLE_PLAYER,1991,1995-02-25,1995-02-25,1995-02-25,
The Super Spy,,Neo Geo CD,"ACTION, ROLE_PLAYING",SNK,SNK,,SINGLE_PLAYER,1990,1994-09-09,1994-09-09,1994-09-09,
Thrash Rally,,Neo Geo CD,RACING,Alpha Denshi,"Alpha Denshi, SNK",,SINGLE_PLAYER,1991,1994-10-31,1994-10-31,1994-10-31,
Top Player's Golf,,Neo Geo CD,SPORTS,SNK,SNK,ESRB_EVERYONE,SINGLE_PLAYER,1990,1994-09-09,1994-09-09,1994-09-09,
Twinkle Star Sprites,,Neo Geo CD,SHOOT_EM_UP,ADK,"ADK, SNK",ESRB_EVERYONE,SINGLE_PLAYER,1996,1997-02-21,1997-02-21,1997-02-21,
Viewpoint,,Neo Geo CD,SHOOT_EM_UP,"Aicom, Sammy Corporation","Sammy, SNK",ESRB_EVERYONE,SINGLE_PLAYER,1992,1995-02-25,1995-02-25,1995-02-25,
Voltage Fighter Gowcaizer,,Neo Geo CD,FIGHTING,Technōs Japan Corp,"SNK, Technōs Japan Corp",ESRB_TEEN,SINGLE_PLAYER,1995,1995-11-24,1995-11-24,1995-11-24,
ZinTrick,,Neo Geo CD,PUZZLE,ADK,"ADK, SNK",,SINGLE_PLAYER,1996,1996-09-27,1996-09-27,1996-09-27,
