title,series,platform,genre,developer,publisher,rating,modes,year,release_eu,release_jp,release_na,plot
Afrika Korps (Europe) (Disk 2),,Atari ST,STRATEGY,,Impressions,OTHER_NOT_RATED,,1991,,,,
After Burner (Europe),,Atari ST,SHOOTER,,Activision,OTHER_NOT_RATED,,1988,,,,
After The War (Europe) (Disk 1),,Atari ST,BEAT_EM_UP,,Dinamic,OTHER_NOT_RATED,,1989,,,,
After The War (Europe) (Disk 2),,Atari ST,BEAT_EM_UP,,Dinamic,OTHER_NOT_RATED,,1989,,,,
AGE - Advanced Galactic Empire (Europe),,Atari ST,ADVENTURE,,Coktel Vision,OTHER_NOT_RATED,,1991,,,,
"Aigle d'Or, L' (France)",,Atari ST,ADVENTURE,,Loriciel,OTHER_NOT_RATED,,1991,,,,
Air Bucks (Europe),,Atari ST,STRATEGY,,Impressions,OTHER_NOT_RATED,,1992,,,,
Air Supply (Europe) (Disk 1),,Atari ST,SHOOT_EM_UP,,Magic Bytes,OTHER_NOT_RATED,,1990,,,,
Air Supply (Europe) (Disk 2),,Atari ST,SHOOT_EM_UP,,Magic Bytes,OTHER_NOT_RATED,,1990,,,,
Air Support (Europe) (Disk 1),,Atari ST,SIMULATION,,Psygnosis,OTHER_NOT_RATED,,1992,,,,
Air Support (Europe) (Disk 2),,Atari ST,SIMULATION,,Psygnosis,OTHER_NOT_RATED,,1992,,,,
Air Warrior 1.1 (Europe),,Atari ST,SIMULATION,,On-Line Entertainment,OTHER_NOT_RATED,,1988,,,,
Air Warrior 2.0 (Europe) (Disk 1),,Atari ST,SIMULATION,,On-Line Entertainment,OTHER_NOT_RATED,,1990,,,,
Air Warrior 2.0 (Europe) (Disk 2),,Atari ST,SIMULATION,,On-Line Entertainment,OTHER_NOT_RATED,,1990,,,,
Air Warrior 2.0 (Europe) (Disk 3),,Atari ST,SIMULATION,,On-Line Entertainment,OTHER_NOT_RATED,,1990,,,,
Airball (Europe),,Atari ST,PLATFORM,,Microdeal,OTHER_NOT_RATED,,1987,,,,
Airborne Ranger (Europe),,Atari ST,SIMULATION,,MicroProse,OTHER_NOT_RATED,,1989,,,,
Albedo (France),,Atari ST,SHOOTER,,Myriad,OTHER_NOT_RATED,,1988,,,,
Alcatraz (Europe) (Disk 1),,Atari ST,ACTION,,Infogrames,OTHER_NOT_RATED,,1992,,,,
Alcatraz (Europe) (Disk 2),,Atari ST,ACTION,,Infogrames,OTHER_NOT_RATED,,1992,,,,
Alcon (USA),,Atari ST,SHOOT_EM_UP,,Taito,OTHER_NOT_RATED,,1987,,,,
Alf - The First Adventure (USA),,Atari ST,MAZE,,Box Office,OTHER_NOT_RATED,,1989,,,,
Aliants - The Desperate Battle for Earth (USA) (Disk 1),,Atari ST,ROLE_PLAYING,,StarSoft Development Laboratories,OTHER_NOT_RATED,,1987,,,,
Aliants - The Desperate Battle for Earth (USA) (Disk 2),,Atari ST,ROLE_PLAYING,,StarSoft Development Laboratories,OTHER_NOT_RATED,,1987,,,,
Alien Blast (France) (Unl),,Atari ST,SHOOT_EM_UP,,Epileptical,OTHER_NOT_RATED,,1996,,,,
Alien Busters IV (Europe) (Unl),,Atari ST,SHOOT_EM_UP,,Decon,OTHER_NOT_RATED,,1996,,,,
Alien Fires 2199 AD (USA) (Disk 1),,Atari ST,ROLE_PLAYING,,Paragon Software,OTHER_NOT_RATED,,1987,,,,
Alien Fires 2199 AD (USA) (Disk 2),,Atari ST,ROLE_PLAYING,,Paragon Software,OTHER_NOT_RATED,,1987,,,,
Alien Storm (Europe),,Atari ST,SHOOT_EM_UP,,US Gold,OTHER_NOT_RATED,,1991,,,,
Alien Syndrome (Europe),,Atari ST,SHOOTER,,Sega,OTHER_NOT_RATED,,1987,,,,
Alien Thing (Europe),,Atari ST,SHOOT_EM_UP,,Top Byte Software,OTHER_NOT_RATED,,1995,,,,
Alien Thing - Expert Edition (Europe),,Atari ST,SHOOTER,,Top Byte Software,OTHER_NOT_RATED,,1996,,,,
Alien World (Europe),,Atari ST,SHOOT_EM_UP,,Hi-Tec Software,OTHER_NOT_RATED,,1992,,,,
Alienation (Europe) (Unl),,Atari ST,PLATFORM,,Wacko Software,OTHER_NOT_RATED,,1990,,,,
All Aboard! Micro Gauge Train Set (USA),,Atari ST,SIMULATION,,Bay Cities Software,OTHER_NOT_RATED,,1988,,,,
All Blocked Up (Europe),,Atari ST,EDUCATIONAL,,Shoestring Software,OTHER_NOT_RATED,,1987,,,,
Alpha Waves (Europe),,Atari ST,PLATFORM,,Infogrames,OTHER_NOT_RATED,,1990,,,,
