title,series,platform,genre,developer,publisher,rating,modes,year,release_eu,release_jp,release_na,plot
Super Sidekicks,Super Sidekicks,Neo Geo AES,SPORTS,SNK,SNK,ESRB_EVERYONE,"SINGLE_PLAYER, TWO_PLAYERS",1992,1993-02-19,1993-02-19,1993-02-19,
Super Sidekicks 2: The World Championship,Super Sidekicks,Neo Geo AES,SPORTS,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1994,1994-05-27,1994-05-27,1994-05-27,
Super Sidekicks 3: The Next Glory,Super Sidekicks,Neo Geo AES,SPORTS,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1995,1995-04-07,1995-04-07,1995-04-07,
Windjammers,,Neo Geo AES,SPORTS,Data East,"Data East, SNK",ESRB_EVERYONE,"SINGLE_PLAYER, TWO_PLAYERS",1994,1994-04-08,1994-04-08,1994-04-08,
World Heroes,World Heroes,Neo Geo AES,FIGHTING,Alpha Denshi,"Alpha Denshi, SNK",ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1992,1992-09-11,1992-09-11,1992-09-11,
World Heroes 2,World Heroes,Neo Geo AES,FIGHTING,ADK,"ADK, SNK",ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1993,1993-06-04,1993-06-04,1993-06-04,
World Heroes 2 Jet,World Heroes,Neo Geo AES,FIGHTING,ADK,"ADK, SNK",ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1994,1994-06-10,1994-06-10,1994-06-10,
World Heroes Perfect,World Heroes,Neo Geo AES,FIGHTING,ADK,"ADK, SNK",ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1995,1995-06-30,1995-06-30,1995-06-30,
Top Hunter: Roddy & Cathy,,Neo Geo AES,PLATFORM,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1994,1994-06-24,1994-06-24,1994-06-24,
Riding Hero,,Neo Geo AES,RACING,SNK,SNK,ESRB_EVERYONE,SINGLE_PLAYER,1990,1991-07-01,1991-07-01,1991-07-01,
The Ultimate 11: SNK Football Championship,Super Sidekicks,Neo Geo AES,SPORTS,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1996,1996-12-20,1996-12-20,1996-12-20,
Waku Waku 7,,Neo Geo AES,FIGHTING,Sunsoft,"SNK, Sunsoft",,"SINGLE_PLAYER, TWO_PLAYERS",1996,1996-12-27,1996-12-27,1996-12-27,
Pulstar,,Neo Geo AES,SHOOT_EM_UP,Aicom,"Aicom, SNK",ESRB_TEEN,SINGLE_PLAYER,1995,1995-09-29,1995-09-29,1995-09-29,
Puzzled,,Neo Geo AES,PUZZLE,SNK,SNK,ESRB_EVERYONE,SINGLE_PLAYER,1990,1991-07-01,1991-07-01,1991-07-01,
Quiz Daisōsasen: The Last Count Down,,Neo Geo AES,QUIZ,SNK,SNK,,SINGLE_PLAYER,1991,1991-08-30,1991-08-30,1991-08-30,
Quiz King of Fighters,,Neo Geo AES,QUIZ,"Saurus, SNK","Saurus, SNK",,SINGLE_PLAYER,1995,1995-03-10,1995-03-10,1995-03-10,
Quiz Meitantei Neo & Geo: Quiz Daisōsasen Part 2,,Neo Geo AES,QUIZ,SNK,SNK,,SINGLE_PLAYER,1992,1991-04-24,1991-04-24,1991-04-24,
Rage of the Dragons,,Neo Geo AES,FIGHTING,Evoga Entertainment,"BrezzaSoft, Playmore",,SINGLE_PLAYER,2002,2002-09-26,2002-09-26,2002-09-26,
Ragnagard,,Neo Geo AES,FIGHTING,"Saurus, System Vision","Saurus, SNK",ESRB_EVERYONE,"SINGLE_PLAYER, TWO_PLAYERS",1996,1996-07-26,1996-07-26,1996-07-26,
Robo Army,,Neo Geo AES,BEAT_EM_UP,SNK,SNK,ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1991,1991-12-20,1991-12-20,1991-12-20,
Savage Reign,,Neo Geo AES,FIGHTING,SNK,SNK,ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1995,1995-05-26,1995-05-26,1995-05-26,
